unitid,arank,numm,salm,tenm,conm,numw,salw,tenw,conw
"100654","1","9","214526","6","0","1","0","1","0"
"100654","2","23","508970","9","0","9","175920","8","0"
"100654","3","41","759194","11","0","32","556078","17","0"
"100654","4","10","132370","0","0","23","325470","0","0"
"100654","5","0","0","0","0","1","0","0","0"
"100654","7","83","1615060","26","0","66","0","26","0"
"100654","8","31","878660","27","1","8","225144","8","0"
"100654","9","33","872253","18","0","12","301680","10","0"
"100654","10","21","480753","10","5","8","159608","2","0"
"100654","11","5","91951","0","2","2","0","0","0"
"100654","14","90","2323617","55","8","30","0","20","0"
"101189","1","2","0","0","0","1","0","0","0"
"101189","3","4","59720","2","0","0","0","0","0"
"101189","4","5","68240","3","0","2","0","2","0"
"101189","7","11","0","5","0","3","47550","2","0"
"101189","10","2","0","2","0","0","0","0","0"
"101189","11","4","71310","3","0","3","39250","1","0"
"101189","14","6","0","5","0","3","39250","1","0"
"101709","1","19","486139","19","0","8","205219","8","0"
"101709","2","32","718278","25","0","13","265641","11","0"
"101709","3","18","348661","2","0","23","393829","7","0"
"101709","4","0","0","0","0","6","85888","0","0"
"101709","7","69","1553078","46","0","50","950577","26","0"
"101709","8","6","190019","6","0","1","0","0","0"
"101709","9","3","76748","3","0","5","130197","3","0"
"101709","10","4","98612","1","0","3","61651","2","0"
"101709","11","4","56578","0","0","1","0","0","0"
"101709","14","17","421957","10","0","10","0","5","0"
"100724","1","18","431870","16","0","4","95670","4","0"
"100724","2","31","676450","23","0","12","254330","10","0"
"100724","3","22","412730","3","0","31","551890","18","0"
"100724","4","18","278680","0","0","18","271160","0","0"
"100724","7","89","1799730","42","0","65","1173050","32","0"
"100724","8","1","0","1","1","0","0","0","0"
"100724","9","3","75570","1","0","0","0","0","0"
"100724","10","0","0","0","3","2","0","0","0"
"100724","11","2","0","0","0","6","114540","1","0"
"100724","14","6","148450","2","4","8","0","1","0"
"100760","6","21","407248","17","0","18","358444","17","0"
"100760","7","21","407248","17","0","18","358444","17","0"
"100812","1","4","101356","4","0","0","0","0","0"
"100812","2","6","139564","6","0","7","162409","7","0"
"100812","3","6","117163","2","0","7","135059","3","0"
"100812","7","16","358083","12","0","14","297468","10","0"
"100812","8","4","125040","4","0","2","0","2","0"
"100812","14","4","125040","4","0","2","0","2","0"
"100858","1","118","3525240","111","0","6","175950","6","0"
"100858","2","201","4785700","179","0","35","752130","32","0"
"100858","3","187","3734700","46","0","51","930000","18","0"
"100858","4","36","534735","0","0","46","677440","0","0"
"100858","7","542","12580375","336","0","138","2535520","56","0"
"100858","8","128","4986831","111","0","2","0","1","0"
"100858","9","106","3303340","84","0","2","0","2","0"
"100858","10","85","2293320","20","0","11","293280","2","0"
"100858","11","15","274440","0","0","13","253620","0","0"
"100858","14","334","10857931","215","0","28","688080","5","0"
"100937","1","18","403530","17","0","2","0","2","0"
"100937","2","10","179160","10","0","9","158250","8","0"
"100937","3","14","215195","0","0","7","117275","0","0"
"100937","4","1","0","0","0","0","0","0","0"
"100937","7","43","0","27","0","18","0","10","0"
"100937","8","5","145460","5","0","1","0","1","0"
"100937","14","5","145460","5","0","1","0","1","0"
"101514","6","41","846282","39","0","43","832486","38","0"
"101514","7","41","846282","39","0","43","832486","38","0"
"101514","13","21","540036","18","0","17","410499","11","0"
"101514","14","21","540036","18","0","17","410499","11","0"
"101143","6","25","507764","3","0","11","211554","2","0"
"101143","7","25","507764","3","0","11","211554","2","0"
"101879","1","12","339568","12","0","0","0","0","0"
"101879","2","22","511983","18","0","8","182346","6","0"
"101879","3","48","941374","28","0","26","498139","21","0"
"101879","4","7","112537","0","0","13","209730","4","0"
"101879","7","89","1905462","58","0","47","890215","31","0"
"101879","8","21","721259","21","1","2","0","2","0"
"101879","9","13","351320","13","0","2","0","2","0"
"101879","10","4","102186","4","4","3","69688","3","0"
"101879","14","38","1174765","38","5","7","191552","7","0"
"101240","6","54","1082140","48","0","49","964429","44","0"
"101240","7","54","1082140","48","0","49","964429","44","0"
"101240","13","2","0","1","0","1","0","1","0"
"101240","14","2","0","1","0","1","0","1","0"
"101286","6","27","521016","22","0","28","517964","22","0"
"101286","7","27","521016","22","0","28","517964","22","0"
"101435","1","10","171975","8","0","2","0","1","0"
"101435","2","4","60700","2","0","3","40300","3","0"
"101435","3","10","143800","1","0","3","40100","1","0"
"101435","4","2","0","0","0","2","0","0","0"
"101435","7","26","0","11","0","10","137100","5","0"
"101435","8","1","0","1","0","0","0","0","0"
"101435","10","1","0","1","0","0","0","0","0"
"101435","11","1","0","0","0","0","0","0","0"
"101435","14","3","50900","2","0","0","0","0","0"
"101480","2","9","223701","6","0","6","149516","5","0"
"101480","3","23","463051","12","0","12","235411","6","0"
"101480","4","20","348639","1","0","25","448659","10","0"
"101480","7","52","1035391","19","0","43","833586","21","0"
"101480","8","15","470727","15","0","5","156909","5","0"
"101480","9","75","2237935","54","0","20","595436","14","0"
"101480","10","13","322417","6","0","16","393144","4","0"
"101480","11","6","134353","1","0","12","246713","1","0"
"101480","14","109","3165432","76","0","53","1392202","24","0"
"101499","6","12","226769","9","0","11","196570","7","0"
"101499","7","12","226769","9","0","11","196570","7","0"
"101499","13","2","0","0","0","0","0","0","0"
"101499","14","2","0","0","0","0","0","0","0"
"101505","6","82","1720054","80","0","79","1567795","77","0"
"101505","7","82","1720054","80","0","79","1567795","77","0"
"101505","13","7","210148","7","0","1","0","1","0"
"101505","14","7","210148","7","0","1","0","1","0"
"101541","1","6","106068","6","0","3","49116","2","0"
"101541","2","3","43760","3","0","4","56472","3","0"
"101541","3","5","75816","1","0","4","52620","2","0"
"101541","4","0","0","0","0","4","46808","0","0"
"101541","7","14","225644","10","0","15","205016","7","0"
"101587","1","0","0","0","0","1","0","1","0"
"101587","2","3","54986","3","0","2","0","2","0"
"101587","3","6","90520","1","0","3","46963","0","0"
"101587","4","1","0","0","0","2","0","0","0"
"101587","7","10","0","4","0","8","127032","3","0"
"101587","8","8","216474","8","0","5","140086","4","0"
"101587","9","6","137519","3","0","5","111994","5","0"
"101587","10","14","266453","2","0","4","74988","1","0"
"101587","11","1","0","0","0","2","0","0","0"
"101587","14","29","0","13","0","16","0","10","0"
"1025","4","3","27399","2","0","0","0","0","0"
"1025","7","3","27399","2","0","0","0","0","0"
"1025","8","1","0","1","0","0","0","0","0"
"1025","14","1","0","1","0","0","0","0","0"
"101648","6","12","171891","10","0","4","47209","1","0"
"101648","7","12","171891","10","0","4","47209","1","0"
"101648","13","2","0","1","8","0","0","0","0"
"101648","14","2","0","1","8","0","0","0","0"
"101675","1","1","0","0","0","1","0","1","0"
"101675","2","3","0","2","0","4","0","2","0"
"101675","3","7","0","3","0","10","0","5","0"
"101675","4","9","0","2","0","10","0","3","0"
"101675","5","18","0","0","0","13","0","0","0"
"101675","7","38","0","7","0","38","0","11","0"
"101675","8","3","0","3","0","1","0","1","0"
"101675","9","2","0","1","0","3","0","1","0"
"101675","10","3","0","0","0","4","0","2","0"
"101675","11","2","0","0","0","2","0","1","0"
"101675","12","3","0","0","0","2","0","0","0"
"101675","14","13","0","4","0","12","0","5","0"
"101693","8","5","100600","0","0","4","86250","0","0"
"101693","9","4","66550","0","0","0","0","0","0"
"101693","10","10","167050","0","0","13","208830","0","0"
"101693","11","3","48000","0","0","9","133640","0","0"
"101693","14","22","382200","0","0","26","428720","0","0"
"102030","6","22","390676","22","0","18","330878","17","0"
"102030","7","22","390676","22","0","18","330878","17","0"
"102030","13","4","105390","4","0","11","258422","10","0"
"102030","14","4","105390","4","0","11","258422","10","0"
"101897","6","8","161251","7","0","13","228535","15","0"
"101897","7","8","161251","7","0","13","228535","15","0"
"101903","6","11","223723","11","0","7","131097","7","0"
"101903","7","11","223723","11","0","7","131097","7","0"
"101903","13","1","0","1","0","1","0","0","0"
"101903","14","1","0","1","0","1","0","0","0"
"101912","1","2","0","0","0","0","0","0","0"
"101912","2","4","0","0","0","2","0","1","0"
"101912","3","11","0","0","0","12","0","1","0"
