unitid,contract,arank,"xempcoun",empcount,"xoutlays",outlays,"xsaverag",saverage
"100654","1","1",10,"26",10,"1510933",10,"58113"
"100654","1","2",10,"50",10,"2581310",10,"51626"
"100654","1","3",10,"74",10,"3168553",10,"42818"
"100654","1","4",10,"21",10,"710347",10,"33826"
"100654","1","6",10,"10",10,"394199",10,"39420"
"100654","1","7",10,"181",10,"8365342",30,""
"100654","1","8",10,"15",10,"846680",10,"56445"
"100654","1","9",10,"13",10,"641727",10,"49364"
"100654","1","10",10,"34",10,"1296662",10,"38137"
"100654","1","11",10,"28",10,"817562",10,"29199"
"100654","1","13",10,"5",10,"150776",10,"30155"
"100654","1","14",10,"95",10,"3753407",30,""
"100654","1","15",10,"276",10,"12118749",30,""
"100654","2","1",10,"5",10,"422812",10,"84562"
"100654","2","2",10,"9",10,"638521",10,"70947"
"100654","2","3",10,"4",10,"196134",10,"49034"
"100654","2","6",10,"3",10,"190762",10,"63587"
"100654","2","7",10,"21",10,"1448229",30,""
"100654","2","8",10,"1",40,"",40,""
"100654","2","9",10,"3",10,"211958",10,"70653"
"100654","2","10",10,"1",40,"",40,""
"100654","2","11",10,"1",40,"",40,""
"100654","2","13",10,"1",40,"",40,""
"100654","2","14",10,"7",10,"441682",30,""
"100654","2","15",10,"28",10,"1889911",30,""
"100663","1","1",10,"66",10,"4887578",10,"74054"
"100663","1","2",10,"98",10,"5386982",10,"54969"
"100663","1","3",10,"53",10,"2744176",10,"51777"
"100663","1","4",10,"11",10,"353985",10,"32180"
"100663","1","5",10,"2",40,"",40,""
"100663","1","7",10,"230",40,"",30,""
"100663","1","8",10,"14",10,"910866",10,"65062"
"100663","1","9",10,"35",10,"1681839",10,"48053"
"100663","1","10",10,"39",10,"1794327",10,"46008"
"100663","1","11",10,"17",10,"567111",10,"33359"
"100663","1","12",10,"1",40,"",40,""
"100663","1","14",10,"106",40,"",30,""
"100663","1","15",10,"336",10,"18444328",30,""
"100663","2","1",10,"40",10,"4442478",10,"111062"
"100663","2","2",10,"14",10,"1157793",10,"82700"
"100663","2","3",10,"8",10,"541310",10,"67664"
"100663","2","4",10,"5",10,"231341",10,"46268"
"100663","2","7",10,"67",10,"6372922",30,""
"100663","2","8",10,"6",10,"546818",10,"91136"
"100663","2","9",10,"3",10,"277645",10,"92548"
"100663","2","10",10,"6",10,"335480",10,"55913"
"100663","2","11",10,"2",40,"",40,""
"100663","2","12",10,"1",40,"",40,""
"100663","2","14",10,"18",10,"1306171",30,""
"100663","2","15",10,"85",10,"7679093",30,""
"100690","2","2",10,"8",10,"253000",10,"31625"
"100690","2","4",10,"1",40,"",40,""
"100690","2","7",10,"9",40,"",30,""
"100690","2","11",10,"1",40,"",40,""
"100690","2","14",10,"1",40,"",30,""
"100690","2","15",10,"10",40,"",30,""
"100706","1","1",10,"51",10,"3630561",10,"71187"
"100706","1","2",10,"47",10,"2649159",10,"56365"
"100706","1","3",10,"38",10,"2084431",10,"54853"
"100706","1","4",10,"3",10,"118799",10,"39600"
"100706","1","5",10,"5",10,"196419",10,"39284"
"100706","1","7",10,"144",10,"8679369",30,""
"100706","1","8",10,"4",10,"316302",10,"79076"
"100706","1","9",10,"23",10,"1091318",10,"47449"
"100706","1","10",10,"42",10,"1882269",10,"44816"
"100706","1","11",10,"2",40,"",40,""
"100706","1","12",10,"14",10,"438647",10,"31332"
"100706","1","14",10,"85",40,"",30,""
"100706","1","15",10,"229",40,"",30,""
"100706","2","1",10,"28",10,"2858784",10,"102099"
"100706","2","2",10,"5",10,"381882",10,"76376"
"100706","2","5",10,"3",10,"121900",10,"40633"
"100706","2","7",10,"36",10,"3362566",30,""
"100706","2","8",10,"1",40,"",40,""
"100706","2","9",10,"5",10,"309712",10,"61942"
"100706","2","10",10,"1",40,"",40,""
"100706","2","12",10,"5",10,"163181",10,"32636"
"100706","2","14",10,"12",40,"",30,""
"100706","2","15",10,"48",40,"",30,""
"100724","1","1",10,"25",10,"1517766",10,"60711"
"100724","1","2",10,"30",10,"1511187",10,"50373"
"100724","1","3",10,"25",10,"1055822",10,"42233"
"100724","1","4",10,"16",10,"560357",10,"35022"
"100724","1","7",10,"96",10,"4645132",30,""
"100724","1","8",10,"13",10,"715005",10,"55000"
"100724","1","9",10,"19",10,"934798",10,"49200"
"100724","1","10",10,"42",10,"1738878",10,"41402"
"100724","1","11",10,"32",10,"1126167",10,"35193"
"100724","1","14",10,"106",10,"4514848",30,""
"100724","1","15",10,"202",10,"9159980",30,""
"100724","2","1",10,"1",40,"",40,""
"100724","2","3",10,"2",40,"",40,""
"100724","2","4",10,"2",40,"",40,""
"100724","2","7",10,"5",10,"295721",30,""
"100724","2","8",10,"1",40,"",40,""
"100724","2","9",10,"3",10,"244953",10,"81651"
"100724","2","10",10,"3",10,"178768",10,"59589"
"100724","2","11",10,"4",10,"198165",10,"49541"
"100724","2","14",10,"11",40,"",30,""
"100724","2","15",10,"16",40,"",30,""
"100751","1","1",10,"224",10,"17618751",10,"78655"
"100751","1","2",10,"148",10,"8767695",10,"59241"
"100751","1","3",10,"115",10,"5585950",10,"48573"
"100751","1","4",10,"32",10,"1063199",10,"33225"
"100751","1","7",10,"519",10,"33035595",30,""
"100751","1","8",10,"40",10,"2797321",10,"69933"
"100751","1","9",10,"62",10,"3403193",10,"54890"
"100751","1","10",10,"83",10,"3711135",10,"44712"
"100751","1","11",10,"44",10,"1443171",10,"32799"
"100751","1","14",10,"229",10,"11354820",30,""
"100751","1","15",10,"748",10,"44390415",30,""
"100751","2","1",10,"8",10,"763779",10,"95472"
"100751","2","2",10,"4",10,"254452",10,"63613"
"100751","2","4",10,"6",10,"197414",10,"32902"
"100751","2","7",10,"18",10,"1215645",30,""
"100751","2","8",10,"2",40,"",40,""
"100751","2","9",10,"3",10,"214929",10,"71643"
"100751","2","10",10,"1",40,"",40,""
"100751","2","11",10,"7",10,"201186",10,"28741"
"100751","2","14",10,"13",10,"641536",30,""
"100751","2","15",10,"31",10,"1857181",30,""
"100760","1","6",10,"27",10,"1052410",10,"38978"
"100760","1","7",10,"27",10,"1052410",30,""
"100760","1","13",10,"20",10,"849963",10,"42498"
"100760","1","14",10,"20",10,"849963",30,""
"100760","1","15",10,"47",10,"1902373",30,""
"100760","2","13",10,"1",40,"",40,""
"100760","2","14",10,"1",40,"",30,""
"100760","2","15",10,"1",40,"",30,""
"100812","1","1",10,"16",10,"1277483",10,"79843"
"100812","1","2",10,"5",10,"328754",10,"65751"
"100812","1","3",10,"14",10,"835132",10,"59652"
"100812","1","7",10,"35",10,"2441369",30,""
"100812","1","8",10,"4",10,"299010",10,"74752"
"100812","1","9",10,"6",10,"405282",10,"67547"
"100812","1","10",10,"20",10,"1160676",10,"58034"
"100812","1","14",10,"30",10,"1864968",30,""
"100812","1","15",10,"65",10,"4306337",30,""
"100812","2","10",10,"2",40,"",40,""
"100812","2","14",10,"2",40,"",30,""
"100812","2","15",10,"2",40,"",30,""
"100830","1","1",10,"23",10,"1458971",10,"63434"
"100830","1","2",10,"36",10,"1860810",10,"51689"
"100830","1","3",10,"22",10,"999770",10,"45444"
"100830","1","4",10,"6",10,"192790",10,"32132"
"100830","1","7",10,"87",10,"4512341",30,""
"100830","1","8",10,"11",10,"647410",10,"58855"
"100830","1","9",10,"20",10,"951580",10,"47579"
"100830","1","10",10,"26",10,"1098004",10,"42231"
"100830","1","11",10,"12",10,"405047",10,"33754"
"100830","1","14",10,"69",10,"3102041",30,""
"100830","1","15",10,"156",10,"7614382",30,""
"100830","2","1",10,"14",10,"1201060",10,"85790"
"100830","2","2",10,"5",10,"365330",10,"73066"
"100830","2","7",10,"19",10,"1566390",30,""
"100830","2","8",10,"1",40,"",40,""
"100830","2","10",10,"1",40,"",40,""
"100830","2","11",10,"2",40,"",40,""
"100830","2","14",10,"4",10,"211037",30,""
"100830","2","15",10,"23",10,"1777427",30,""
"100858","1","1",10,"225",10,"17358051",10,"77147"
"100858","1","2",10,"176",10,"10244881",10,"58210"
"100858","1","3",10,"81",10,"3966690",10,"48971"
"100858","1","4",10,"36",10,"1064936",10,"29582"
"100858","1","5",10,"8",10,"351545",10,"43943"
"100858","1","7",10,"526",10,"32986103",30,""
"100858","1","8",10,"22",10,"1488945",10,"67679"
"100858","1","9",10,"67",10,"3438990",10,"51328"
